team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,label
Delaware St.,MEAC,18,7.2,78.1,12.1,21.4,33.71,4.8,3.8,19.3,35.6,3,4,0.75,0,3,0.0,1,4,0.25,0.0,3.4,57.1,So,5-9,,-0.271507,68.1781,6.9,2008,3567,,,1.5997121,,,,,,,,,,107.576,111.531,0.237749,11.7673,-6.06235,-4.10838,-1.95397,-8.98022,4.5,-8.59105,-0.389174,0.1667,0.1111,0.2778,0.4444,0.2222,0.0,0.3333,,3.4402,1987-10-15,0
New Orleans,SB,30,39.3,90.6,8.4,44.3,47.48,4.1,11.6,2.8,23.1,11,17,0.647,16,40,0.4,5,13,0.385,0.5,0.9,32.1,Sr,6-7,,-0.631901,73.992,4.9,2008,3568,"Burien, WA",19.4,0.47063254,,,,,,,,,,107.284,109.085,0.964887,72.5267,-3.53708,-2.62674,-0.910342,-4.58384,15.6875,-3.78193,-0.801908,0.5938,1.7188,2.3125,0.25,0.2188,0.0625,1.9375,,1.58335,1985-10-15,0
Utah St.,WAC,34,73.8,99.0,18.6,41.8,46.25,1.8,5.7,36.7,29.9,37,47,0.787,55,126,0.437,14,56,0.25,0.3,2.1,25.8,Sr,6-2,,1.07112,96.019,2.7,2008,3569,,,2.38299149,,,,,,,,,,108.002,109.516,1.76666,150.145,-3.60965,-0.359554,-3.2501,-2.03753,29.2286,-0.270077,-1.76746,0.3429,1.4286,1.7714,6.4,1.0,0.0857,5.6,,3.42179,1985-10-15,0
Duquesne,A10,11,8.5,74.2,15.9,31.6,41.28,5.3,6.0,8.9,35.4,8,11,0.727,3,6,0.5,2,13,0.154,2.8,2.6,57.9,Fr,6-7,,-0.543941,68.6606,10.2,2008,3570,"Mercersburg, PA",,0.54549998,,,,,,,,,,100.148,105.087,0.697273,19.1188,-3.51918,-3.87803,0.358845,-8.21218,9.2727,-8.12032,-0.0918583,0.4545,0.5455,1.0,0.5455,0.4545,0.2727,1.8182,,6.64776,1988-04-29,0
Wyoming,MWC,24,35.5,81.6,17.8,45.8,45.27,7.1,14.5,6.6,24.0,8,21,0.381,38,77,0.494,7,29,0.241,5.8,1.0,19.8,Fr,7-0,,-0.257614,81.0753,5.6,2008,3571,,,0.38709676,,,,,,,,,,102.957,101.338,1.45831,76.6614,-2.50492,-3.66973,1.16481,-3.22976,16.36,-3.89195,0.662195,0.92,2.16,3.08,0.48,0.28,0.92,4.2,,4.12076,1988-10-15,0
Miami FL,ACC,33,43.7,103.1,16.7,48.9,53.04,9.1,11.0,7.4,20.9,34,45,0.756,61,122,0.5,4,15,0.267,2.0,1.7,32.8,Sr,6-7,,1.05635,102.987,5.2,2008,3572,"Longview, TX",,0.66669817,,,,,,,,,,99.4702,95.8232,1.87563,106.016,3.35669,1.37105,1.98564,1.16966,17.5588,-0.337275,1.50694,1.4412,1.8235,3.2647,0.7059,0.5294,0.3235,5.0588,,1.4989,1985-10-15,0
Virginia,ACC,33,60.5,111.6,18.8,52.5,54.53,7.1,19.0,7.2,15.2,35,46,0.761,62,124,0.5,56,154,0.364,1.6,1.5,16.5,Sr,6-7,,2.36131,113.674,2.1,2008,3573,"Wolfeboro, NH",55.2,0.73172888,,,,,,,,,,102.76,98.4695,2.37637,160.578,3.88212,3.19754,0.684582,4.91981,24.4848,4.35688,0.56293,1.6061,4.1212,5.7273,0.9091,0.6364,0.3636,9.9091,,10.6957,1985-10-15,0
Houston,CUSA,34,86.9,115.8,29.8,52.0,58.03,1.5,10.5,18.7,13.7,190,215,0.884,88,212,0.415,145,376,0.386,0.2,2.7,36.6,Sr,6-3,,5.60438,132.023,2.2,2008,3574,"New Haven, CT",26.0,1.15118201,,,,,,,,,,100.317,100.62,3.15303,215.696,5.75988,7.27743,-1.51754,8.33361,34.7647,8.20515,0.12846,0.5294,3.3235,3.8529,2.9118,1.6471,0.0588,23.5588,,17.8536,1985-10-15,0
Montana St.,BSky,28,43.8,84.6,23.2,44.0,46.07,4.0,14.7,7.5,22.6,30,53,0.566,35,80,0.438,26,88,0.295,0.7,0.8,31.5,Fr,6-7,,0.029479,86.0511,4.3,2008,3575,"Great Falls, MT",,0.42858018,,,,,,,,,,109.426,112.172,0.885648,78.7162,-7.89955,-3.66578,-4.23377,-6.76648,18.0,-3.34738,-3.4191,0.6667,2.0667,2.7333,0.7,0.3,0.1,6.6333,,10.4578,1988-06-22,0
UTEP,CUSA,33,53.7,91.1,12.3,39.0,43.85,2.6,18.2,26.3,30.5,30,53,0.566,20,48,0.417,8,34,0.235,0.8,3.9,64.6,Fr,6-7,,-0.25057,82.2058,3.6,2008,3576,,,2.27989699,,,,,,,,,,92.9646,92.174,2.57917,177.441,3.14246,-0.802624,3.94508,2.10743,21.8182,-1.9206,4.02804,0.5455,3.5152,4.0606,3.4545,1.5758,0.1515,2.8485,,2.5533,1988-12-07,1
TCU,MWC,25,17.2,93.4,15.2,31.4,39.05,12.1,31.7,5.9,13.3,14,20,0.7,12,38,0.316,1,5,0.2,6.7,1.2,46.5,So,6-11,,0.0787546,88.4168,5.2,2008,3577,"Fort Worth, TX",,0.8748781,,,,,,,,,,92.5663,93.3881,0.921711,46.7552,-1.06006,-3.8237,2.76364,-1.65179,8.0769,-1.93748,0.285691,1.0,2.0,3.0,0.2692,0.1538,0.4231,1.8462,,1.44515,1987-10-15,0
Rhode Island,A10,30,19.8,84.1,18.3,39.6,43.08,0.8,12.9,29.8,34.3,14,26,0.538,16,38,0.421,2,10,0.2,0.8,3.0,54.2,Fr,6-1,,-0.0691454,83.2831,5.8,2008,3578,"Oakdale, CT",16.8,1.66670001,,,,,,,,,,100.959,98.5835,0.853491,54.899,-3.07118,-2.84021,-0.230978,-3.91929,8.7667,-4.35906,0.439772,0.0667,1.0667,1.1333,1.6667,0.4667,0.0667,1.7333,,2.09899,1987-04-21,0
St. Francis NY,NEC,29,51.6,93.6,22.2,48.9,52.23,11.9,19.1,9.1,26.3,43,62,0.694,62,133,0.466,19,52,0.365,4.0,1.0,33.5,So,6-5,,0.531417,92.986,4.6,2008,3579,,,0.41272326,,,,,,,,,,101.572,104.285,1.60939,119.143,-2.73545,-2.97604,0.240588,-2.93129,21.1724,-1.69803,-1.23327,2.4138,3.2759,5.6897,0.8966,0.3793,0.7931,7.7241,,4.81187,1987-10-15,0
Montana St.,BSky,28,44.7,105.8,13.8,43.9,47.63,8.6,20.9,9.1,13.5,25,39,0.641,40,88,0.455,2,10,0.2,6.3,1.7,39.8,Sr,6-9,,0.546488,94.3674,6.4,2008,3580,"Watsonville, CA",,1.47370916,,,,,,,,,,102.24,104.807,1.36285,108.501,1.12028,-0.969422,2.0897,-0.905785,17.8333,-1.68916,0.783373,1.2667,3.1,4.3667,0.9333,0.6333,1.0,4.0,,1.16446,1985-10-15,0
San Francisco,WCC,30,31.6,86.3,12.4,44.5,47.48,1.2,6.2,16.9,32.3,10,15,0.667,5,15,0.333,13,40,0.325,1.3,2.5,27.3,So,6-5,,-0.390564,76.6661,6.6,2008,3581,,,1.37026413,,,,,,,,,,106.177,107.22,0.857383,64.9342,-3.53128,-2.36486,-1.16642,-4.69237,12.7097,-5.12741,0.435034,0.1613,0.6452,0.8065,1.1935,0.5161,0.1613,2.0645,,6.1813,1987-10-15,0
Chicago St.,ind,25,76.0,102.3,24.7,53.1,55.12,4.9,11.0,14.4,19.0,51,73,0.699,145,266,0.545,13,44,0.295,0.9,3.5,23.5,Jr,6-2,,2.28879,107.257,2.7,2008,3582,,,0.85716,,,,,,,,,,108.736,107.598,2.02161,148.747,0.00835497,1.11544,-1.10708,1.22934,30.7857,2.02629,-0.796954,1.3571,3.1071,4.4643,2.1429,1.7857,0.3571,15.4643,,3.17817,1986-10-15,0
Southern,SWAC,26,52.1,84.7,24.6,45.9,50.29,2.0,9.1,25.7,29.6,55,86,0.64,41,92,0.446,21,66,0.318,0.2,4.1,54.4,Jr,6-1,,-0.0196751,85.3129,4.1,2008,3583,,,0.86077839,,,,,,,,,,96.57,102.971,1.85201,116.73,-3.52437,-2.88244,-0.641931,-4.16892,22.6429,-4.07134,-0.0975733,0.4286,1.8929,2.3214,2.4286,1.5714,0.0714,7.7857,,6.68188,1986-10-15,0
Southern,SWAC,26,56.4,77.3,17.4,35.8,41.16,1.6,10.7,19.5,27.5,37,60,0.617,20,74,0.27,17,53,0.321,1.1,3.0,47.2,Sr,6-2,,-1.23559,70.8921,2.8,2008,3585,,,1.03449561,,,,,,,,,,97.9884,105.309,1.80605,119.378,-4.48306,-4.51006,0.0269955,-5.30473,24.4444,-5.31829,0.0135562,0.3333,2.3333,2.6667,2.2222,1.2963,0.2222,5.037,,4.95666,1985-10-15,0
Southern,SWAC,22,34.9,94.7,18.9,46.1,48.59,1.2,10.8,7.0,14.4,17,23,0.739,11,48,0.229,32,80,0.4,0.6,2.0,18.0,So,6-5,,0.295412,90.3192,1.2,2008,3586,,,0.63155235,,,,,,,,,,100.734,105.938,1.29378,65.6188,-4.47044,-2.05726,-2.41318,-1.60319,17.9167,-0.263539,-1.33965,0.1667,1.7917,1.9583,0.5,0.5417,0.125,6.25,,12.0909,1987-10-15,0
Prairie View A&M,SWAC,26,20.9,89.2,16.2,47.3,49.3,9.9,18.5,2.6,23.5,13,23,0.565,26,55,0.473,0,0,0.0,10.3,1.8,41.8,So,6-7,,-0.12314,81.7686,6.1,2008,3587,,,0.17650658,,,,,,,,,,99.3669,105.003,0.705523,57.9459,-3.37944,-5.09776,1.71832,-3.31692,9.3462,-3.54576,0.228839,0.8462,1.6154,2.4615,0.1154,0.3077,0.9615,2.5,,0.0,1987-10-15,0
Ohio St.,B10,37,38.6,102.2,12.1,51.4,52.82,4.1,12.7,6.3,19.5,11,16,0.688,32,53,0.604,15,53,0.283,2.4,1.6,15.1,Sr,6-9,,0.462854,94.2079,3.4,2008,3588,"Troy, OH",81.2,0.90901441,,,,,,,,,,96.1356,90.7447,1.92872,103.354,2.94295,0.131557,2.81139,2.49013,15.4865,-0.480453,2.97058,0.5135,1.8649,2.3784,0.5405,0.4054,0.3243,3.2432,,5.65542,1985-10-15,0
Pittsburgh,BE,10,17.5,108.3,21.9,48.0,54.8,3.1,8.1,20.1,20.6,28,34,0.824,26,56,0.464,7,20,0.35,1.3,0.7,44.7,Sr,6-4,,2.4278,113.455,2.5,2008,3589,,54.6,1.4500055,,,,,,,,,,104.493,105.254,1.87185,35.1266,1.59014,2.30575,-0.715614,3.08603,24.9091,2.42318,0.662848,0.8182,2.0,2.8182,2.6364,0.5455,0.2727,10.3636,,4.75203,1985-10-15,0
DePaul,BE,29,45.6,80.2,18.6,40.6,42.89,5.2,20.6,8.9,27.2,17,25,0.68,47,123,0.382,9,26,0.346,4.5,1.6,16.8,Sr,6-9,,-0.250853,81.7374,3.4,2008,3591,"Eustis, FL",90.4,0.56246979,,,,,,,,,,106.774,101.399,1.66164,109.867,-1.22271,-3.4723,2.24959,-2.73192,18.9655,-3.28867,0.556749,0.931,3.3448,4.2759,0.931,0.5172,0.8276,4.7586,,2.73836,1985-10-15,0
New Mexico St.,WAC,34,38.8,94.5,21.1,51.4,51.45,14.4,21.2,3.2,23.7,49,100,0.49,73,140,0.521,0,2,0.0,7.9,0.6,70.4,Sr,7-0,,0.491153,94.6771,6.4,2008,3592,"Durham, NC",93.6,0.20407143,,,,,,,,,,95.0322,94.1254,1.759,123.997,-0.560142,-2.72637,2.16623,-1.65297,15.5429,-2.64188,0.988906,2.0286,3.0,5.0286,0.2857,0.2,1.2,5.6571,,0.204194,1985-10-15,0
Illinois,B10,12,5.6,95.2,20.6,59.5,57.55,10.5,15.1,5.8,26.9,3,7,0.429,8,11,0.727,3,10,0.3,9.2,3.2,33.3,Fr,6-9,,0.28515,98.0204,4.0,2008,3593,"Peoria, IL",70.2,0.28578777,,,,,,,,,,88.5822,85.7604,0.938611,18.4145,7.88532,0.495152,7.39017,7.29332,6.6667,1.58789,5.70543,0.5833,0.8333,1.4167,0.1667,0.3333,0.5,2.3333,,7.95767,1989-06-12,0
TCU,MWC,23,16.5,76.5,13.9,37.9,39.74,1.7,9.7,17.0,30.4,5,10,0.5,5,16,0.313,5,17,0.294,0.0,2.7,30.3,So,6-0,,-0.428248,70.7816,5.4,2008,3594,,,1.26672001,,,,,,,,,,99.8175,102.04,0.715966,34.0058,-4.02332,-3.82072,-0.202597,-5.28539,8.4583,-5.84424,0.55885,0.1667,0.7083,0.875,0.7917,0.375,0.0,1.2917,,5.12195,1987-10-15,0
Nevada,WAC,32,80.9,115.1,29.4,52.1,57.35,4.8,13.2,22.5,14.5,139,162,0.858,147,300,0.49,69,181,0.381,0.9,1.3,33.7,Sr,6-5,,4.77591,128.078,2.4,2008,3595,,,1.3456916,,,,,,,,,,103.183,101.577,2.82874,178.126,4.60992,5.71315,-1.10323,6.65501,32.0606,7.07229,-0.417281,1.303,4.1212,5.4242,3.303,0.697,0.303,19.9697,,10.0321,1985-10-15,0
VMI,BSth,2,0.4,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,Jr,6-4,,-0.614765,-3.01716,0.0,2008,3596,,,0.0,,,,,,,,,,119.667,126.291,0.00323559,0.378909,-15.3003,-7.98255,-7.31771,-21.6072,2.25,-12.9873,-8.61991,0.0,0.25,0.25,0.0,0.25,0.0,1.5,,12.3363,1986-10-15,0
San Diego,WCC,31,18.4,90.8,10.5,41.4,46.28,9.7,16.2,2.2,25.2,9,14,0.643,12,27,0.444,0,2,0.0,3.9,0.2,48.3,Fr,6-7,,-0.173421,79.5347,5.7,2008,3597,"Flower Mound, TX",,0.27282977,,,,,,,,,,98.64,96.8017,0.861375,42.9904,-1.93503,-3.50051,1.56547,-2.68828,8.3871,-3.85755,1.16927,0.6452,1.0645,1.7097,0.0968,0.0323,0.2903,1.0645,,0.480421,1988-10-15,0
Mississippi Valley St.,SWAC,30,68.9,98.9,24.2,47.0,52.13,8.6,12.8,8.1,18.1,94,131,0.718,95,221,0.43,26,64,0.406,1.0,1.4,46.0,Sr,6-5,,1.46277,100.366,3.8,2008,3598,,,0.40841895,,,,,,,,,,100.771,106.177,2.03394,144.692,-1.99235,-0.667901,-1.32445,-0.742617,28.6562,0.620515,-1.36313,2.3438,3.1562,5.5,0.9062,0.6875,0.3438,12.5312,,4.53587,1985-10-15,0
Lipscomb,ASun,7,1.9,58.7,26.6,41.7,38.61,5.0,14.4,25.1,46.6,0,1,0.0,1,3,0.333,1,3,0.333,0.0,0.0,16.7,Sr,6-1,,-0.270959,61.3759,1.7,2008,3599,,,0.6,,,,,,,,,,103.969,108.513,0.204357,3.52608,-13.8338,-11.265,-2.56886,-12.0827,3.125,-6.49108,-5.59161,0.125,0.375,0.5,0.375,0.0,0.0,0.625,,7.34334,1985-10-15,0
Mississippi St.,SEC,31,71.0,110.9,25.9,56.6,58.92,10.6,14.9,7.0,16.8,107,159,0.673,211,375,0.563,3,6,0.5,4.3,0.9,41.7,Sr,6-8,,3.94712,122.132,3.0,2008,3600,"Jackson, MS",88.4,0.39189813,,,,,,,,,,94.4882,89.7778,3.99165,189.525,3.05411,1.75693,1.29719,5.11268,31.4839,3.94752,1.16516,2.871,4.9355,7.8065,0.9355,0.5161,1.3548,17.3548,,0.351883,1985-10-15,0
Tennessee St.,OVC,30,68.0,96.5,25.8,50.5,53.8,8.9,19.2,15.4,24.8,68,97,0.701,135,264,0.511,5,18,0.278,5.1,3.2,34.4,Jr,6-8,,1.2579,98.8931,4.8,2008,3601,"Memphis, TN",79.0,0.63636948,,,,,,,,,,103.413,104.919,2.0612,175.762,-0.738551,-2.1245,1.38595,-1.65792,27.0625,-1.24252,-0.4154,2.0625,4.0312,6.0938,1.9688,1.5312,1.125,11.5938,,1.24854,1986-10-15,0
Northwestern St.,Slnd,29,67.5,102.7,28.8,49.1,55.03,8.5,16.3,16.5,19.4,128,167,0.766,147,282,0.521,15,63,0.238,2.7,2.2,48.4,Sr,6-9,,2.67244,114.081,3.4,2008,3602,"DeSoto, TX",,0.70454545,,,,,,,,,,103.032,105.527,1.98967,164.189,1.25132,1.82006,-0.568738,2.33852,27.2188,3.22512,-0.886598,2.375,3.9062,6.2812,1.9375,1.1875,0.6562,16.7188,,4.24345,1985-10-15,0
Syracuse,BE,4,1.4,9.7,15.4,0.0,0.0,0.0,5.4,7.4,74.0,0,0,0.0,0,0,0.0,0,2,0.0,0.0,5.8,0.0,Sr,6-2,,-1.26893,8.57896,6.3,2008,3603,"Utica, NY",91.6,0.25,,,,,,,,,,98.7665,93.3839,0.550073,4.23322,-7.9619,-10.729,2.76711,-14.1703,4.75,-14.8608,0.690519,0.0,0.25,0.25,0.25,0.5,0.0,0.0,,5.50911,1985-10-15,0
Tennessee,SEC,35,74.7,119.1,20.8,54.1,58.25,2.7,8.9,10.8,12.2,101,119,0.849,51,117,0.436,117,302,0.387,0.3,2.4,28.4,Sr,6-2,,4.11484,125.272,2.1,2008,3604,"Maysville, KY",73.0,1.30614945,,,,,,,,,,99.6488,93.6233,3.43367,186.323,6.67673,5.9885,0.688225,8.09102,29.75,6.55802,1.533,0.75,2.4444,3.1944,1.7778,1.3333,0.0833,15.5278,,15.6152,1985-10-15,0
Alcorn St.,SWAC,26,18.0,70.7,20.3,52.5,55.07,3.2,8.0,10.4,45.9,12,19,0.632,9,20,0.45,8,20,0.4,0.0,4.0,47.5,Fr,5-8,,-0.499406,67.5755,7.4,2008,3605,,,0.36112625,,,,,,,,,,106.245,115.145,0.322361,41.668,-9.11031,-6.71492,-2.39538,-10.8746,8.0,-8.64724,-2.22737,0.3214,0.5,0.8214,0.4643,0.5357,0.0,2.0357,,5.31507,1988-10-15,0
St. Francis NY,NEC,29,46.8,95.4,20.0,47.4,51.76,11.8,19.7,2.6,21.4,60,98,0.612,65,137,0.474,0,0,0.0,1.0,2.4,71.5,Sr,6-9,,0.440317,92.3431,6.0,2008,3606,"West Palm Beach, FL",,0.16667818,,,,,,,,,,99.8826,102.55,1.57269,115.627,-5.66254,-4.02093,-1.64161,-4.89364,19.2069,-3.63687,-1.25677,2.1724,3.069,5.2414,0.2414,0.7931,0.1724,6.5517,,0.0,1985-10-15,0
Florida St.,ACC,34,86.7,106.0,23.4,50.5,55.02,2.6,8.1,17.7,19.8,106,131,0.809,116,240,0.483,62,174,0.356,1.0,4.4,31.6,Jr,6-1,,3.54962,115.065,3.0,2008,3607,"Jonesboro, GA",84.8,1.0316023,,,,,,,,,,97.7624,92.3526,4.13976,236.926,6.07494,3.53879,2.53615,6.34069,35.4412,3.05086,3.28983,0.7353,2.4412,3.1765,2.8824,2.6471,0.3235,15.4118,,8.47361,1986-10-15,1
Lipscomb,ASun,9,1.9,85.9,19.5,42.9,33.71,19.9,19.2,0.0,0.0,0,4,0.0,3,7,0.429,0,0,0.0,0.0,0.0,57.1,Jr,6-10,,-0.0180468,83.5305,5.2,2008,3608,"Madison, TN",31.2,0.0,,,,,,,,,,101.383,106.702,0.177841,3.99667,-14.5492,-5.75392,-8.79525,-6.80093,2.5556,-2.39795,-4.40298,0.4444,0.4444,0.8889,0.0,0.0,0.0,0.6667,,0.0,1986-10-15,0
St. Francis NY,NEC,6,2.5,14.4,18.2,0.0,10.1,0.0,4.1,5.6,62.4,1,2,0.5,0,1,0.0,0,3,0.0,3.6,1.9,50.0,Jr,6-2,,-1.15479,13.4606,5.3,2008,3609,,,0.16670001,,,,,,,,,,104.782,109.625,0.27437,5.04944,-16.7306,-16.8042,0.0736248,-18.6985,5.0,-15.5506,-3.14784,0.0,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,,5.72983,1986-10-15,0
St. Francis NY,NEC,3,0.7,109.7,9.9,50.0,50.0,0.0,15.4,0.0,0.0,0,0,0.0,1,2,0.5,0,0,0.0,0.0,0.0,0.0,So,6-5,,0.0437979,90.496,10.0,2008,3610,"Fitchburg, MA",,0.0,,,,,,,,,,106.51,111.399,0.136425,1.23567,-11.4572,-6.17727,-5.27992,-8.19509,2.6667,-7.03927,-1.15582,0.0,0.3333,0.3333,0.0,0.0,0.0,0.6667,,0.0,1987-10-15,0
St. Francis NY,NEC,14,9.3,84.2,18.4,32.8,32.91,8.5,5.6,12.2,5.6,6,19,0.316,6,20,0.3,3,12,0.25,1.9,2.1,59.4,So,6-5,,-0.17817,79.0318,2.9,2008,3612,,,3.49895019,,,,,,,,,,105.11,107.623,0.521766,18.3912,-4.43349,-2.46738,-1.96611,-3.06651,7.9286,-1.18521,-1.88129,0.6429,0.3571,1.0,0.5,0.2857,0.1429,1.9286,,6.1611,1987-10-15,0
Sacred Heart,NEC,32,70.9,101.6,20.0,50.5,53.27,3.0,6.3,19.6,20.9,43,55,0.782,79,165,0.479,41,113,0.363,0.2,3.0,19.8,So,6-0,,1.29664,98.7504,4.4,2008,3613,"Middletown, CT",,1.3880026,,,,,,,,,,103.279,106.799,1.96274,155.385,-1.37385,0.19417,-1.56802,-1.38365,28.5625,-1.07104,-0.312609,0.75,1.5312,2.2812,2.9062,1.5,0.0625,10.125,,7.03792,1987-10-15,0
Robert Morris,NEC,10,3.0,91.9,16.4,75.0,65.66,5.6,11.5,9.1,33.2,1,4,0.25,6,8,0.75,0,0,0.0,8.8,0.0,50.0,So,6-0,,-0.00724217,85.0566,10.7,2008,3614,"Woodstock, VA",,0.5,,,,,,,,,,98.1189,104.127,0.32196,7.34058,-2.40491,-4.75614,2.35123,-3.89932,4.1,-6.74745,2.84813,0.2,0.4,0.6,0.2,0.0,0.3,1.3,,0.0,1987-10-15,0
Sacred Heart,NEC,6,1.6,95.9,29.9,54.5,54.39,16.1,22.5,0.0,18.2,1,2,0.5,6,10,0.6,0,1,0.0,5.1,2.7,18.2,So,6-5,,0.239792,105.31,1.9,2008,3615,"Woodmere, NY",,0.0,,,,,,,,,,95.205,102.992,0.288627,4.93935,-11.1818,-5.38858,-5.79319,3.77828,3.5,4.92094,-1.14265,0.5,0.6667,1.1667,0.0,0.1667,0.1667,2.1667,,2.75989,1987-10-15,0
Sacred Heart,NEC,31,45.0,100.5,23.1,53.4,54.02,2.7,9.6,8.4,16.6,15,23,0.652,38,77,0.494,64,174,0.368,2.2,2.6,9.2,So,6-3,,1.02511,101.483,5.2,2008,3616,"Windsor, CT",1.6,0.58969876,,,,,,,,,,101.904,105.451,1.37216,105.041,-1.32361,0.466242,-1.78985,0.93346,18.7097,1.87007,-0.936609,0.4516,1.5161,1.9677,0.7419,0.8387,0.3871,9.129,,17.0745,1987-10-15,0
Marist,MAAC,31,31.4,101.2,19.2,62.1,63.18,9.0,14.4,8.6,31.0,17,25,0.68,40,58,0.69,11,33,0.333,1.1,1.2,27.5,Sr,6-8,,0.643162,99.8757,7.5,2008,3617,"Milwaukee, WI",2.2,0.41022174,,,,,,,,,,104.062,103.887,1.02788,69.3783,-0.409584,-0.284381,-0.125202,-1.78735,13.1613,-2.15005,0.362704,0.9677,1.6129,2.5806,0.5161,0.2581,0.129,4.1935,,5.04377,1985-10-15,0
Marist,MAAC,31,67.6,115.5,14.8,52.8,56.28,1.8,12.2,9.9,13.9,47,62,0.758,16,55,0.291,59,143,0.413,2.0,1.0,31.3,Sr,6-5,,2.04217,106.656,3.4,2008,3618,"Oakdale, CT",7.8,1.48273644,,,,,,,,,,105.492,105.314,2.0763,140.308,2.81756,2.28529,0.532264,2.18852,28.3548,1.72546,0.463062,0.4194,2.9355,3.3548,1.3871,0.4839,0.5161,8.2581,,10.1522,1985-10-15,0
Marist,MAAC,4,1.0,91.5,24.7,87.5,78.21,9.4,9.1,0.0,38.8,0,1,0.0,2,2,1.0,1,2,0.5,0.0,0.0,25.0,Jr,6-3,,0.158313,99.6036,3.1,2008,3619,,,0.0,,,,,,,,,,110.303,108.491,0.205997,1.61906,-8.70997,-2.62559,-6.08438,1.86563,3.25,5.47014,-3.60451,0.25,0.25,0.5,0.0,0.0,0.0,1.75,,9.59845,1986-10-15,0
Siena,MAAC,31,52.3,109.3,13.5,44.9,51.51,5.7,10.7,7.4,14.5,47,59,0.797,24,65,0.369,25,72,0.347,2.2,1.8,43.1,Jr,6-7,,0.993196,98.0555,4.2,2008,3621,,,1.29165587,,,,,,,,,,104.236,102.763,1.908,121.722,2.22834,1.17725,1.05109,-0.26217,23.1935,-0.823059,0.560889,1.1613,2.0968,3.2581,1.0,0.7419,0.4839,5.4839,,5.87182,1986-10-15,0
VMI,BSth,21,75.5,112.6,30.8,53.2,55.61,9.3,18.2,23.4,13.6,97,145,0.669,169,286,0.591,37,136,0.272,1.7,3.3,34.4,Sr,6-6,,4.72434,123.36,2.5,2008,3622,,,1.27631584,,,,,,,,,,104.849,109.209,2.19349,176.023,4.22129,5.38715,-1.16585,4.68328,34.36,6.1833,-1.50002,3.72,5.96,9.68,3.88,2.2,0.68,27.8,,8.88865,1985-10-15,1
VMI,BSth,21,75.5,112.6,30.8,53.2,55.61,9.3,18.2,23.4,13.6,97,145,0.669,169,286,0.591,37,136,0.272,1.7,3.3,34.4,Sr,6-6,,4.72434,123.36,2.5,2008,3622,,,1.27631584,,,,,,,,,,104.849,109.209,2.19349,176.023,4.22129,5.38715,-1.16585,4.68328,34.36,6.1833,-1.50002,3.72,5.96,9.68,3.88,2.2,0.68,27.8,,8.88865,1985-10-15,1
Xavier,A10,37,65.1,103.5,24.0,51.8,55.58,10.7,16.4,11.7,21.9,103,154,0.669,147,284,0.518,0,0,0.0,1.2,2.0,54.2,Jr,6-6,,2.35723,111.673,3.8,2008,3623,,,0.64286659,,,,,,,,,,95.4673,90.7491,3.25115,186.006,3.66144,1.19455,2.46689,2.86947,26.1081,1.30585,1.56362,2.1622,3.7568,5.9189,1.4595,0.8378,0.2703,10.7297,,0.0,1986-10-15,0
Providence,BE,31,78.1,108.5,20.0,52.0,54.16,4.0,9.5,15.2,18.5,43,56,0.768,56,118,0.475,76,209,0.364,1.0,4.2,17.1,Jr,6-0,,2.95537,112.833,3.1,2008,3624,"Pawtucket, RI",23.2,1.22580004,,,,,,,,,,102.522,96.537,3.27541,191.95,6.3169,4.46879,1.84812,5.33577,31.6129,3.09447,2.2413,1.0968,2.5484,3.6452,2.4516,2.2581,0.2903,12.3548,,12.5034,1986-10-15,0
Vermont,AE,31,36.9,84.4,9.9,34.6,40.78,7.5,10.6,7.2,29.8,13,17,0.765,18,52,0.346,0,0,0.0,0.2,1.2,32.7,Sr,6-4,,-0.843257,69.0924,4.7,2008,3625,,,0.83337638,,,,,,,,,,102.91,105.331,1.0968,75.0479,-3.90514,-3.39279,-0.512351,-4.88085,14.871,-4.52125,-0.359594,0.9677,1.4194,2.3871,0.6452,0.3226,0.0323,1.5806,,0.0,1985-10-15,0
Vermont,AE,22,35.8,103.9,14.9,61.3,63.03,9.1,18.1,5.8,27.4,25,37,0.676,49,80,0.613,0,0,0.0,5.3,0.9,46.3,Sr,6-6,,0.508244,92.8563,4.5,2008,3626,,,0.43753867,,,,,,,,,,97.8994,101.298,1.77477,90.7184,-0.0676967,-1.97043,1.90273,-0.587175,20.3182,-1.65022,1.06305,1.5909,3.3182,4.9091,0.6364,0.3182,1.0455,5.5909,,0.0,1985-10-15,0
